1.771 1.000E+09
2.135 1.000E+09
2.147 1.000E+09
2.160 1.000E+09
2.172 1.000E+09
2.185 1.000E+09
2.197 1.000E+09
2.210 1.000E+09
2.223 1.000E+09
2.236 1.000E+09
2.249 1.000E+09
2.263 1.000E+09
2.276 1.000E+09
2.290 1.000E+09
2.304 1.000E+09
2.318 1.000E+09
2.332 1.000E+09
2.346 1.000E+09
2.361 1.000E+09
2.376 1.000E+09
2.391 1.000E+09
2.406 1.000E+09
2.421 1.000E+09
2.437 1.000E+09
2.452 1.000E+09
2.468 1.000E+09
2.475 1.000E+09
2.483 1.000E+09
2.484 1.000E+09
2.501 1.000E+09
2.517 1.000E+09
2.534 1.000E+09
2.551 1.000E+09
2.568 1.000E+09
2.586 1.000E+09
2.604 1.000E+09
2.622 1.000E+09
2.640 1.000E+09
2.658 1.000E+09
2.675 1.000E+09
2.694 1.000E+09
2.713 1.000E+09
2.733 1.000E+09
2.751 1.000E+09
2.769 1.000E+09
2.789 1.000E+09
2.810 1.000E+09
2.831 1.000E+09
2.852 1.000E+09
2.873 1.000E+09
2.895 1.000E+09
2.913 2.074E-02
2.935 2.082E-02
2.954 4.079E-03
2.972 2.094E-02
2.996 3.003E-02
3.010 3.010E-03
3.034 3.011E-03
3.058 3.012E-03
3.083 3.013E-03
3.096 1.038E-03
3.113 2.030E-03
3.124 1.038E-03
3.124 1.038E-03
3.150 1.028E-03
3.165 8.043E-04
3.165 8.043E-04
3.184 6.052E-04
3.235 2.063E-04
3.249 2.038E-04
3.277 1.053E-04
3.286 1.043E-04
3.317 9.040E-05
3.326 9.001E-05
3.347 6.097E-05
3.352 6.072E-05
3.364 6.055E-05
3.373 6.004E-05
3.382 5.088E-05
3.447 4.045E-05
3.459 4.036E-05
3.466 4.020E-05
3.478 4.012E-05
3.488 3.094E-05
3.501 3.088E-05
3.514 3.070E-05
3.530 3.064E-05
3.540 3.049E-05
3.556 3.045E-05
3.576 3.040E-05
3.597 3.036E-05
3.628 3.038E-05
3.656 3.040E-05
3.680 3.049E-05
3.702 3.052E-05
3.724 3.063E-05
3.742 3.068E-05
3.761 3.088E-05
3.775 3.094E-05
3.791 4.002E-05
3.798 4.017E-05
3.817 4.024E-05
3.903 5.049E-05
3.920 5.063E-05
3.932 5.094E-05
3.948 6.011E-05
3.969 6.063E-05
3.985 6.084E-05
3.998 7.030E-05
4.010 7.056E-05
4.045 8.045E-05
4.058 8.079E-05
4.071 9.017E-05
4.084 9.063E-05
4.101 1.001E-04
4.119 1.005E-04
4.133 1.010E-04
4.155 1.016E-04
4.178 1.021E-04
4.197 1.029E-04
4.224 1.036E-04
4.253 1.044E-04
4.287 1.050E-04
4.321 1.057E-04
4.365 1.063E-04
4.406 1.071E-04
4.457 1.073E-04
4.510 1.069E-04
4.554 1.061E-04
4.592 1.053E-04
4.620 1.044E-04
4.643 1.041E-04
4.660 1.027E-04
4.683 1.019E-04
4.694 1.012E-04
4.717 9.059E-05
4.723 9.013E-05
4.729 8.067E-05
4.753 8.033E-05
4.771 7.037E-05
4.783 7.010E-05
4.789 6.085E-05
4.807 6.063E-05
4.813 6.039E-05
4.825 6.018E-05
4.869 5.051E-05
4.894 5.037E-05
4.932 5.006E-05
4.958 4.096E-05
4.997 4.089E-05
5.050 4.094E-05
5.084 5.004E-05
5.111 5.017E-05
5.145 5.028E-05
5.174 5.041E-05
5.195 5.055E-05
5.223 5.069E-05
5.252 5.085E-05
5.281 6.001E-05
5.304 6.019E-05
5.341 6.034E-05
5.379 6.051E-05
5.425 6.069E-05
5.472 6.085E-05
20.663 6.085E-05
