0.007	1.769
0.007	1.770
0.008	1.781
0.009	1.784
0.009	1.785
0.010	1.787
0.011	1.793
0.011	1.797
0.012	1.806
0.012	1.804
0.013	1.808
0.014	1.805
0.014	1.804
0.015	1.806
0.015	1.805
0.016	1.815
0.017	1.811
0.017	1.820
0.018	1.808
0.019	1.793
0.019	1.792
0.020	1.755
0.020	1.738
0.021	1.723
0.022	1.709
0.022	1.716
0.023	1.723
0.024	1.726
0.024	1.730
0.025	1.730
0.025	1.726
0.026	1.725
0.027	1.726
0.027	1.729
0.028	1.723
0.029	1.737
0.029	1.743
0.030	1.749
0.030	1.758
0.031	1.758
0.032	1.745
0.032	1.733
0.033	1.721
0.033	1.712
0.034	1.716
0.035	1.723
0.035	1.728
0.036	1.730
0.037	1.733
0.037	1.734
0.038	1.736
0.038	1.739
0.039	1.740
0.040	1.743
0.040	1.742
0.041	1.745
0.042	1.746
0.042	1.748
0.043	1.751
0.043	1.754
