1.500	0.005
1.600	0.008
1.700	0.010
1.800	0.013
1.900	0.016
2.000	0.022
2.100	0.030
2.200	0.032
2.300	0.048
2.400	0.060
2.500	0.073
2.600	0.090
2.700	0.130
2.800	0.163
2.900	0.203
3.000	0.269
3.100	0.387
3.200	0.630
3.300	1.320
3.400	2.705
3.500	3.014
3.600	2.987
3.700	3.058
3.800	3.182
3.900	3.346
3.999	3.586
4.100	3.979
4.200	4.639
4.301	5.395
4.400	5.344
4.500	5.082
4.601	4.678
4.700	4.278
4.800	3.979
4.901	3.749
4.999	3.565
5.100	3.429
5.201	3.354
5.301	3.353
5.400	3.366
5.501	3.302
5.600	3.206
5.700	3.120
5.799	3.045
5.901	2.982
6.001	2.909
