2.480	906.780
2.485	881.530
2.490	884.270
2.495	901.610
2.500	893.000
2.505	896.930
2.510	926.980
2.515	911.130
2.520	927.730
2.525	859.600
2.530	853.800
2.535	839.960
2.541	822.990
2.546	773.830
2.551	762.640
2.556	688.490
2.562	643.780
2.567	595.420
2.572	532.260
2.578	462.930
2.583	396.030
2.588	333.370
2.594	274.170
2.599	224.320
2.605	180.630
2.610	143.630
2.616	114.220
2.621	90.695
2.627	71.680
2.632	56.479
2.638	44.561
2.644	35.256
2.649	27.985
2.655	22.383
2.661	18.034
2.666	14.669
2.672	12.064
2.678	10.043
2.684	8.481
2.689	7.272
2.695	6.344
2.701	5.637
2.707	5.104
2.713	4.714
2.719	4.440
2.725	4.260
2.731	4.155
2.737	4.113
2.743	4.122
2.749	4.172
2.755	4.248
2.761	4.346
2.767	4.452
2.774	4.566
2.780	4.687
2.786	4.806
2.792	4.922
2.799	5.032
2.805	5.128
2.811	5.199
2.818	5.235
2.824	5.216
2.831	5.140
2.837	5.013
2.844	4.839
2.850	4.641
2.857	4.432
2.863	4.231
2.870	4.058
2.877	3.919
2.883	3.818
2.890	3.760
2.897	3.746
2.904	3.769
2.910	3.826
2.917	3.919
2.924	4.032
2.931	4.167
2.938	4.330
2.945	4.511
2.952	4.706
2.959	4.916
2.966	5.144
2.973	5.381
2.980	5.614
2.988	5.839
2.995	6.044
3.002	6.214
3.009	6.338
3.017	6.423
3.024	6.478
3.031	6.516
3.039	6.553
3.046	6.610
3.054	6.710
3.061	6.860
3.069	7.059
3.076	7.322
3.084	7.648
3.092	8.039
3.100	8.509
3.263	894.850
