1.500	3.673
1.600	3.714
1.700	3.752
1.800	3.796
1.900	3.847
2.000	3.906
2.100	3.969
2.200	4.042
2.300	4.123
2.400	4.215
2.500	4.320
2.600	4.442
2.700	4.583
2.800	4.753
2.900	4.961
3.000	5.222
3.100	5.570
3.200	6.062
3.300	6.709
3.400	6.522
3.500	5.610
3.600	5.296
3.700	5.156
3.800	5.065
3.900	5.016
3.999	5.010
4.100	5.020
4.200	4.888
4.301	4.087
4.400	3.120
4.500	2.452
4.601	1.988
4.700	1.764
4.800	1.658
4.901	1.597
4.999	1.570
5.100	1.571
5.201	1.589
5.301	1.579
5.400	1.471
5.501	1.340
5.600	1.247
5.700	1.186
5.799	1.133
5.901	1.083
6.001	1.010
