0.640	0.920
0.770	0.560
0.890	0.430
1.020	0.350
1.140	0.270
1.260	0.220
1.390	0.170
1.510	0.160
1.640	0.140
1.760	0.130
1.880	0.140
2.010	0.210
2.130	0.290
2.260	0.430
2.380	0.620
2.500	1.040
2.630	1.310
2.750	1.380
2.880	1.450
3.000	1.460
3.120	1.470
3.250	1.460
3.370	1.480
3.500	1.500
3.620	1.480
3.740	1.480
3.870	1.540
3.990	1.530
4.120	1.530
4.240	1.490
4.360	1.470
4.491	1.430
4.611	1.380
4.739	1.350
4.860	1.330
4.979	1.330
5.111	1.320
5.229	1.320
5.360	1.300
5.481	1.310
5.600	1.300
5.729	1.300
5.851	1.300
5.981	1.300
6.099	1.330
6.221	1.330
6.348	1.340
6.471	1.320
6.598	1.280
