0.640	13.780
0.770	11.210
0.890	9.519
1.020	8.145
1.140	7.150
1.260	6.350
1.390	5.663
1.510	5.083
1.640	4.542
1.760	4.103
1.880	3.697
2.010	3.272
2.130	2.863
2.260	2.455
2.380	2.081
2.500	1.833
2.630	1.849
2.750	1.914
2.880	1.948
3.000	1.958
3.120	1.952
3.250	1.933
3.370	1.895
3.500	1.866
3.620	1.871
3.740	1.883
3.870	1.898
3.990	1.893
4.120	1.889
4.240	1.878
4.360	1.869
4.491	1.847
4.611	1.803
4.739	1.749
4.860	1.688
4.979	1.631
5.111	1.577
5.229	1.536
5.360	1.497
5.481	1.460
5.600	1.427
5.729	1.387
5.851	1.350
5.981	1.304
6.099	1.277
6.221	1.251
6.348	1.226
6.471	1.203
6.598	1.188
